item	total	count part-1	specif part-1	count part-2	specif part-2
x	85	77	5.40	8	-5.40
政府	84	56	-1.14	28	1.14
层面	84	45	-3.25	39	3.25
趋势	84	55	-1.22	29	1.22
社区	84	52	-1.60	32	1.60
阿	84	61	1.07	23	-1.07
获得	83	55	-1.16	28	1.16
生产	83	47	-2.51	36	2.51
比	83	63	1.30	20	-1.30
拥有	83	54	-1.25	29	1.25
报名	83	83	12.82	0	-12.82
公众	82	57	-1.02	25	1.02
邮件	82	60	1.09	22	-1.09
较	82	50	-1.72	32	1.72
申请	82	81	11.12	1	-11.12
质量	81	52	-1.32	29	1.32
断	81	51	-1.45	30	1.45
图	81	50	-1.60	31	1.60
现实	81	46	-2.44	35	2.44
体验	81	61	1.23	20	-1.23
否	81	55	-1.06	26	1.06
各种	81	61	1.23	20	-1.23
攻击	81	51	-1.45	30	1.45
所	80	51	-1.35	29	1.35
设施	80	49	-1.66	31	1.66
手机	80	68	3.01	12	-3.01
Social	80	57	1.02	23	-1.02
快速	79	59	1.17	20	-1.17
20	79	62	1.58	17	-1.58
13	79	59	1.17	20	-1.17
编辑	78	58	1.14	20	-1.14
准确	78	42	-3.02	36	3.02
11	78	64	2.21	14	-2.21
覆盖	78	45	-2.20	33	2.20
兴趣	78	53	-1.05	25	1.05
网	77	57	1.11	20	-1.11
参与	77	49	-1.35	28	1.35
知识	77	52	-1.07	25	1.07
跨	77	65	2.76	12	-2.76
作者	77	52	-1.07	25	1.07
移动	77	51	-1.13	26	1.13
14	77	64	2.43	13	-2.43
机制	76	48	-1.39	28	1.39
有关	76	48	-1.39	28	1.39
要求	76	50	-1.16	26	1.16
体系	76	48	-1.39	28	1.39
作用	76	41	-2.94	35	2.94
区域	76	48	-1.39	28	1.39
下载	76	73	8.00	3	-8.00
突破	76	50	-1.16	26	1.16
伙伴	76	56	1.09	20	-1.09
进一步	75	44	-1.98	31	1.98
项	75	46	-1.59	29	1.59
语言	75	55	1.07	20	-1.07
增加	75	47	-1.43	28	1.43
或者	74	54	1.05	20	-1.05
t	74	67	4.76	7	-4.76
无	74	59	1.71	15	-1.71
们	74	52	1.00	22	1.00
alternate	74	74	11.43	0	-11.43
成	74	52	1.00	22	1.00
依赖	74	44	-1.84	30	1.84
以下	73	44	-1.71	29	1.71
选择	73	54	1.09	19	-1.09
保护	73	47	-1.25	26	1.25
深圳	73	56	1.31	17	-1.31
成功	73	54	1.09	19	-1.09
需	73	52	1.00	21	-1.00
名	73	56	1.31	17	-1.31
B	73	65	4.10	8	-4.10
27Fall	73	69	6.72	4	-6.72
cn	72	54	1.15	18	-1.15
人员	72	54	1.15	18	-1.15
又	72	51	0.99	21	0.99
提高	72	49	-1.03	23	1.03
个体	72	39	-2.78	33	2.78
自动	72	46	-1.29	26	1.29
成绩	72	44	-1.59	28	1.59
城际	72	56	1.42	16	-1.42
情况	71	46	-1.21	25	1.21
他人	71	42	-1.85	29	1.85
其中	71	44	-1.47	27	1.47
同学	71	52	1.05	19	-1.05
格局	71	46	-1.21	25	1.21
还是	71	49	-1.00	22	1.00
它们	71	38	-2.89	33	2.89
很多	71	46	-1.21	25	1.21
